Region,City,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Payment Mode,Year,Month,Sales_log
North,Amritsar,Clothing,Accessories,2,66329,15,112759.3,Debit Card,2025,1,11.633019605742424
West,Ahmedabad,Clothing,Kids Wear,5,33747,10,151861.5,Net Banking,2025,5,11.930730785162998
North,Lucknow,Toys,Action Figure,2,731,15,1242.7,Credit Card,2023,10,7.1258460866596955
West,Surat,Clothing,Kids Wear,4,37118,5,141048.4,COD,2025,6,11.85686546261039
East,Guwahati,Home Decor,Clock,3,29284,20,70281.6,Debit Card,2025,1,11.160279536494372
East,Kolkata,Home Decor,Clock,1,15109,10,13598.1,Net Banking,2024,9,9.517758893063796
East,Bhubaneswar,Beauty,Foundation,1,19290,5,18325.5,UPI,2024,2,9.816103378793695
East,Guwahati,Beauty,Face Cream,4,54082,20,173062.4,Net Banking,2024,8,12.061413280333165
South,Chennai,Beauty,Lipstick,2,16234,5,30844.6,Credit Card,2025,2,10.336749393553754
North,Chandigarh,Sports,Cricket Bat,1,44624,20,35699.2,Net Banking,2024,9,10.482911569992934
South,Chennai,Home Decor,Lamp,3,20681,0,62043.0,Credit Card,2025,3,11.035599089744641
West,Pune,Clothing,Women's Wear,1,1071,5,1017.45,Debit Card,2023,10,6.9260371426601495
West,Ahmedabad,Sports,Dumbbells,1,10248,10,9223.2,Net Banking,2023,10,9.129585744281048
West,Ahmedabad,Kitchen,Cookware Set,3,30343,5,86477.55,Net Banking,2024,6,11.367651685290008
West,Ahmedabad,Groceries,Spices,4,68181,0,272724.0,Credit Card,2025,8,12.516219240465958
South,Chennai,Electronics,Headphones,3,44804,0,134412.0,Debit Card,2025,9,11.808672428583986
West,Ahmedabad,Home Decor,Vase,5,65619,5,311690.25,Net Banking,2024,3,12.649768393497434
South,Coimbatore,Books,Non-Fiction,2,67113,5,127514.7,Net Banking,2024,5,11.75599477325475
West,Pune,Books,Biography,2,20114,15,34193.8,UPI,2025,5,10.439828864706787
West,Mumbai,Home Decor,Lamp,2,10531,5,20008.9,COD,2023,10,9.903982430064042
West,Surat,Books,Biography,1,46017,0,46017.0,COD,2025,1,10.736787903279478
East,Patna,Beauty,Face Cream,5,34608,20,138432.0,UPI,2024,11,11.83814173304993
East,Guwahati,Home Decor,Cushion,5,23060,10,103770.0,Debit Card,2025,9,11.549941827249432
North,Amritsar,Beauty,Perfume,4,53624,0,214496.0,Net Banking,2024,2,12.276051031238417
South,Thiruvananthapuram,Groceries,Oil,5,53156,0,265780.0,Credit Card,2024,10,12.490427940388768
North,Jaipur,Toys,RC Car,4,69925,20,223760.0,Debit Card,2024,4,12.318333796939863
West,Mumbai,Toys,Puzzle,5,28450,5,135137.5,COD,2024,12,11.81405545744415
West,Surat,Sports,Yoga Mat,5,61981,10,278914.5,UPI,2025,5,12.5386641475464
South,Bangalore,Home Decor,Clock,4,46217,10,166381.2,UPI,2025,9,12.022042830493577
West,Goa,Kitchen,Microwave,5,26290,15,111732.5,COD,2024,7,11.623871850567621
West,Ahmedabad,Groceries,Oil,4,4679,20,14972.8,COD,2025,2,9.614057286216859
North,Chandigarh,Toys,Puzzle,4,614,0,2456.0,Credit Card,2025,5,7.806696372521179
South,Thiruvananthapuram,Furniture,Table,1,11858,5,11265.1,Credit Card,2024,11,9.329553495680134
East,Kolkata,Books,Textbook,3,66303,0,198909.0,COD,2024,12,12.200607740099107
East,Ranchi,Books,Textbook,3,56549,20,135717.6,Debit Card,2023,10,11.81833890348982
West,Mumbai,Electronics,Smartwatch,1,38853,20,31082.4,Debit Card,2025,5,10.34442919360777
South,Chennai,Home Decor,Lamp,4,20842,0,83368.0,Credit Card,2025,9,11.3310318166104
South,Coimbatore,Beauty,Face Cream,4,5016,15,17054.4,Debit Card,2024,10,9.744222148110405
West,Mumbai,Sports,Cricket Bat,2,41608,0,83216.0,Net Banking,2025,7,11.329206932860474
West,Surat,Kitchen,Mixer Grinder,5,35132,10,158094.0,UPI,2024,2,11.970951397144018
South,Bangalore,Electronics,Laptop,3,23559,20,56541.6,Debit Card,2025,2,10.94274961533356
South,Hyderabad,Clothing,Women's Wear,2,72402,20,115843.2,COD,2025,9,11.660001463868355
West,Mumbai,Furniture,Cabinet,5,12315,20,49260.0,Debit Card,2024,3,10.804887971915088
North,Delhi,Groceries,Sugar,4,1299,20,4156.8,Credit Card,2024,8,8.332741367213014
North,Lucknow,Books,Textbook,1,1548,20,1238.4,UPI,2024,8,7.122382670528007
North,Amritsar,Toys,Action Figure,1,28645,20,22916.0,UPI,2024,9,10.039634272209469
East,Patna,Beauty,Foundation,2,7000,20,11200.0,Credit Card,2025,9,9.32375833901174
North,Jaipur,Sports,Cricket Bat,3,12289,10,33180.3,COD,2025,1,10.409741743205965
East,Guwahati,Electronics,Mobile,1,13336,15,11335.6,Credit Card,2024,5,9.335791708692495
South,Coimbatore,Groceries,Oil,1,17376,10,15638.4,COD,2024,2,9.65754865019206
East,Guwahati,Groceries,Spices,5,52647,15,223749.75,Credit Card,2024,8,12.31828798808679
East,Guwahati,Kitchen,Refrigerator,5,37492,10,168714.0,Net Banking,2024,9,12.035966179815478
North,Amritsar,Books,Textbook,1,56680,15,48178.0,Debit Card,2025,1,10.782678520453256
West,Mumbai,Electronics,Laptop,2,69931,0,139862.0,COD,2024,3,11.84841865104926
South,Hyderabad,Electronics,Camera,1,64881,10,58392.9,COD,2023,10,10.974966711306028
West,Goa,Home Decor,Clock,4,54187,20,173398.4,COD,2023,12,12.06335288311498
North,Delhi,Home Decor,Vase,5,1445,5,6863.75,Credit Card,2025,10,8.834154900933
North,Amritsar,Electronics,Mobile,4,76442,20,244614.4,COD,2025,4,12.407442460187903
South,Coimbatore,Clothing,Women's Wear,3,14127,10,38142.9,Debit Card,2025,3,10.54912112877729
North,Jaipur,Furniture,Sofa,3,58577,10,158157.9,COD,2024,12,11.971355502838016
West,Mumbai,Groceries,Spices,4,51102,5,194187.6,Net Banking,2024,3,12.176585130747618
South,Thiruvananthapuram,Beauty,Foundation,3,46500,20,111600.0,Credit Card,2024,7,11.622685289462678
South,Coimbatore,Electronics,Mobile,1,22580,15,19193.0,Net Banking,2024,9,9.862353009177573
South,Coimbatore,Electronics,Camera,1,29931,15,25441.35,Credit Card,2025,7,10.14417038740166
North,Lucknow,Electronics,Mobile,2,72878,15,123892.6,Debit Card,2025,5,11.727178411722962
East,Kolkata,Toys,Board Game,2,49224,0,98448.0,COD,2024,8,11.49729392657536
West,Surat,Books,Fiction,3,9931,5,28303.35,Debit Card,2023,10,10.25077078206647
South,Thiruvananthapuram,Books,Comics,3,26535,10,71644.5,COD,2023,12,11.179485625980423
South,Coimbatore,Sports,Football,2,74485,10,134073.0,Debit Card,2025,7,11.806147165311284
East,Bhubaneswar,Books,Non-Fiction,2,57097,0,114194.0,COD,2023,11,11.645662792408423
North,Chandigarh,Electronics,Smartwatch,2,59268,15,100755.6,Net Banking,2023,12,11.520462986348193
North,Amritsar,Groceries,Rice,4,76727,0,306908.0,Credit Card,2025,6,12.63430656569104
West,Goa,Clothing,Kids Wear,3,25199,15,64257.45,UPI,2025,9,11.070668511619525
South,Thiruvananthapuram,Electronics,Camera,4,64353,20,205929.6,COD,2025,4,12.23529449780657
South,Chennai,Toys,Doll,5,55326,10,248967.0,COD,2024,12,12.42507965313198
West,Pune,Home Decor,Vase,3,72688,5,207160.8,Credit Card,2024,5,12.241255409436167
South,Thiruvananthapuram,Groceries,Sugar,2,10362,15,17615.4,UPI,2024,3,9.776585565335006
West,Mumbai,Home Decor,Vase,5,56110,10,252495.0,Net Banking,2024,8,12.439150685987913
West,Surat,Clothing,Shoes,3,56239,0,168717.0,UPI,2025,4,12.035983961123176
North,Lucknow,Books,Non-Fiction,2,32947,20,52715.2,Credit Card,2024,12,10.872678087671144
East,Ranchi,Groceries,Sugar,5,3051,15,12966.75,COD,2023,10,9.470220785006365
East,Kolkata,Electronics,Smartwatch,4,73502,0,294008.0,Net Banking,2024,6,12.591365658097171
East,Ranchi,Clothing,Shoes,4,31981,0,127924.0,UPI,2024,3,11.759199433673292
East,Guwahati,Electronics,Camera,3,60790,5,173251.5,COD,2024,5,12.062505346962467
East,Guwahati,Beauty,Face Cream,5,58343,5,277129.25,Debit Card,2025,8,12.532242891258788
North,Jaipur,Books,Textbook,3,41002,15,104555.1,Net Banking,2023,10,11.557479048444094
West,Goa,Books,Textbook,4,31796,0,127184.0,Debit Card,2025,4,11.753397998406212
South,Coimbatore,Toys,RC Car,4,22163,15,75354.2,Net Banking,2024,4,11.229968212954162
South,Thiruvananthapuram,Groceries,Sugar,1,29884,20,23907.2,COD,2025,1,10.081976775309858
North,Lucknow,Electronics,Laptop,1,60813,0,60813.0,UPI,2025,1,11.015575304605662
North,Jaipur,Furniture,Table,2,24189,15,41121.3,Credit Card,2024,5,10.624305832416947
East,Bhubaneswar,Toys,RC Car,4,78589,0,314356.0,Debit Card,2024,1,12.658284561735694
North,Delhi,Toys,RC Car,3,15007,20,36016.8,Debit Card,2025,8,10.491768539685316
West,Mumbai,Electronics,Mobile,1,52117,20,41693.6,Net Banking,2024,9,10.638126902998632
West,Ahmedabad,Beauty,Shampoo,5,78466,5,372713.5,Debit Card,2025,4,12.828567989996312
North,Delhi,Furniture,Sofa,3,22428,5,63919.8,Credit Card,2024,9,11.065400096006393
East,Ranchi,Books,Biography,5,13235,0,66175.0,COD,2025,8,11.100073138428046
North,Jaipur,Groceries,Oil,1,2593,15,2204.05,Net Banking,2025,2,7.698505463360817
North,Delhi,Clothing,Women's Wear,1,51138,5,48581.1,COD,2024,12,10.791010429287581
South,Coimbatore,Electronics,Smartwatch,2,42396,10,76312.8,Debit Card,2024,1,11.242609065924999
West,Goa,Beauty,Shampoo,4,19720,10,70992.0,Net Banking,2025,4,11.170336559613691
East,Bhubaneswar,Home Decor,Vase,5,61965,5,294333.75,Debit Card,2024,8,12.592473004043438
South,Chennai,Toys,Action Figure,1,367,10,330.3,Debit Card,2024,8,5.80302430930585
West,Goa,Beauty,Perfume,5,29336,0,146680.0,Net Banking,2025,1,11.896015439724062
West,Ahmedabad,Sports,Football,5,31246,5,148418.5,UPI,2025,1,11.90779800270023
West,Mumbai,Groceries,Rice,2,25421,10,45757.8,COD,2025,5,10.731139401933607
East,Guwahati,Kitchen,Juicer,4,667,0,2668.0,Credit Card,2024,5,7.889459149404524
West,Mumbai,Clothing,Shoes,1,16862,10,15175.8,Debit Card,2025,2,9.627523225038336
North,Chandigarh,Clothing,Accessories,5,78363,20,313452.0,Debit Card,2025,8,12.655404707560765
North,Amritsar,Toys,Action Figure,2,55648,15,94601.6,Credit Card,2024,2,11.45744023880605
West,Pune,Sports,Football,5,21266,10,95697.0,Net Banking,2023,11,11.468952678581077
South,Bangalore,Books,Comics,5,26679,0,133395.0,Net Banking,2025,3,11.801077427006605
South,Bangalore,Clothing,Shoes,4,50092,5,190349.6,COD,2025,9,12.156622913893933
North,Amritsar,Clothing,Men's Wear,5,69793,10,314068.5,Debit Card,2024,4,12.65736957797846
East,Ranchi,Beauty,Shampoo,5,74700,0,373500.0,Net Banking,2024,10,12.830675960927596
East,Guwahati,Toys,RC Car,3,51488,0,154464.0,UPI,2025,1,11.947722812439677
North,Delhi,Electronics,Smartwatch,2,28862,10,51951.6,Debit Card,2025,8,10.858087043398204
North,Lucknow,Sports,Cricket Bat,1,13079,5,12425.05,UPI,2024,3,9.427550354436564
South,Coimbatore,Toys,RC Car,3,11574,10,31249.8,Debit Card,2025,2,10.349800254836873
North,Lucknow,Kitchen,Cookware Set,3,53759,20,129021.6,Debit Card,2024,11,11.767742861797618
South,Coimbatore,Books,Biography,1,43311,20,34648.8,Debit Card,2025,5,10.453047232595619
West,Ahmedabad,Kitchen,Microwave,2,78085,20,124936.0,Credit Card,2025,7,11.735564889233748
East,Patna,Clothing,Women's Wear,4,68963,0,275852.0,COD,2024,2,12.527623394117242
North,Jaipur,Clothing,Men's Wear,3,75804,20,181929.6,Credit Card,2024,3,12.111380574657158
North,Delhi,Electronics,Camera,4,57096,20,182707.2,COD,2024,8,12.115645623679661
East,Patna,Sports,Cricket Bat,1,74534,15,63353.9,Debit Card,2025,3,11.056507530824376
East,Kolkata,Clothing,Shoes,5,21734,20,86936.0,Debit Card,2023,11,11.372938997391172
South,Coimbatore,Beauty,Lipstick,3,40591,0,121773.0,Net Banking,2023,12,11.709922146774879
East,Guwahati,Groceries,Rice,4,18455,15,62747.0,UPI,2024,8,11.046881983976132
East,Kolkata,Home Decor,Lamp,5,57972,20,231888.0,UPI,2025,7,12.354014087879689
North,Amritsar,Toys,RC Car,2,21822,0,43644.0,COD,2024,12,10.68384400716945
West,Mumbai,Clothing,Accessories,5,68790,15,292357.5,COD,2025,1,12.585736067920337
North,Amritsar,Beauty,Foundation,2,10590,5,20121.0,UPI,2025,1,9.909569022851995
East,Guwahati,Sports,Tennis Racket,2,23014,20,36822.4,Net Banking,2024,11,10.513888791642847
East,Ranchi,Electronics,Mobile,4,20037,5,76140.6,UPI,2023,12,11.240350043637422
East,Guwahati,Kitchen,Microwave,1,63898,10,57508.2,UPI,2025,6,10.959700213986807
West,Surat,Kitchen,Refrigerator,3,72177,5,205704.45,COD,2025,1,12.234200570185545
North,Lucknow,Sports,Tennis Racket,2,2816,0,5632.0,UPI,2025,9,8.636397438894713
North,Amritsar,Electronics,Camera,4,39711,15,135017.4,Debit Card,2024,6,11.813166344429366
South,Thiruvananthapuram,Home Decor,Wall Art,1,19814,20,15851.2,Debit Card,2023,10,9.671063570935253
West,Pune,Clothing,Women's Wear,2,48515,10,87327.0,UPI,2025,8,11.377426423508066
West,Surat,Books,Fiction,3,1851,15,4720.05,Credit Card,2024,8,8.45978651146669
North,Jaipur,Kitchen,Refrigerator,2,50476,20,80761.6,Credit Card,2024,8,11.299269266064076
West,Goa,Kitchen,Refrigerator,2,47992,10,86385.6,UPI,2025,3,11.366587850171454
West,Mumbai,Toys,Action Figure,4,8030,10,28908.0,Credit Card,2025,5,10.27190824430491
South,Chennai,Toys,Puzzle,1,8479,10,7631.1,Credit Card,2024,12,8.94011831576765
West,Goa,Kitchen,Refrigerator,4,64522,20,206470.4,COD,2025,1,12.237917183002036
North,Chandigarh,Books,Biography,5,42094,5,199946.5,Debit Card,2024,7,12.205810111071019
West,Mumbai,Groceries,Spices,4,1122,20,3590.4,Credit Card,2024,12,8.186297377607797
South,Thiruvananthapuram,Clothing,Shoes,3,44699,5,127392.15,Net Banking,2025,5,11.755033253013757
East,Bhubaneswar,Groceries,Wheat,5,27044,15,114937.0,Debit Card,2024,12,11.652148131527536
East,Guwahati,Toys,Puzzle,4,29631,5,112597.8,Net Banking,2024,7,11.631586337437334
North,Lucknow,Kitchen,Mixer Grinder,3,68227,0,204681.0,Credit Card,2024,3,12.22921283422169
North,Delhi,Sports,Tennis Racket,4,77522,15,263574.8,UPI,2025,3,12.48209627162977
West,Pune,Electronics,Mobile,1,79714,0,79714.0,COD,2024,12,11.286213052841466
North,Jaipur,Kitchen,Mixer Grinder,2,54554,5,103652.6,Credit Card,2025,8,11.548809849532844
South,Coimbatore,Home Decor,Lamp,2,34906,0,69812.0,Credit Card,2024,9,11.153575517827091
North,Amritsar,Books,Non-Fiction,5,57791,0,288955.0,Debit Card,2024,1,12.574029706368545
North,Lucknow,Books,Textbook,5,24126,15,102535.5,Net Banking,2024,2,11.537974111733886
South,Bangalore,Sports,Tennis Racket,3,21359,20,51261.6,Net Banking,2024,3,10.844716720442133
North,Lucknow,Home Decor,Vase,5,12148,5,57703.0,Credit Card,2024,11,10.96308177418351
East,Ranchi,Home Decor,Lamp,3,23208,15,59180.4,COD,2024,9,10.988362582315144
East,Ranchi,Kitchen,Cookware Set,1,19909,5,18913.55,Debit Card,2025,9,9.84768674614178
North,Delhi,Furniture,Table,2,76443,15,129953.1,UPI,2024,9,11.77493659016831
North,Jaipur,Clothing,Accessories,1,32422,5,30800.9,Net Banking,2023,12,10.335331655370709
East,Bhubaneswar,Kitchen,Cookware Set,2,60597,10,109074.6,COD,2025,9,11.59979649877888
North,Chandigarh,Toys,Doll,2,71880,20,115008.0,Credit Card,2024,5,11.65276566515273
West,Goa,Sports,Yoga Mat,3,2465,20,5916.0,Net Banking,2024,2,8.685584842676693
East,Kolkata,Books,Non-Fiction,1,38191,20,30552.8,COD,2024,7,10.327244343116458
West,Mumbai,Furniture,Chair,5,24539,10,110425.5,Credit Card,2025,2,11.612105420252929
West,Ahmedabad,Groceries,Wheat,5,9427,5,44778.25,UPI,2024,8,10.709500141464028
West,Mumbai,Electronics,Camera,3,66689,20,160053.6,Credit Card,2023,12,11.983270286003426
North,Chandigarh,Furniture,Chair,4,13734,10,49442.4,Credit Card,2024,12,10.808583859993545
South,Bangalore,Toys,Doll,3,35732,10,96476.4,Debit Card,2025,5,11.47706406300751
North,Jaipur,Home Decor,Vase,3,4037,20,9688.8,Credit Card,2024,10,9.178829064836926
East,Bhubaneswar,Electronics,Headphones,3,15350,5,43747.5,UPI,2024,3,10.686212605483707
North,Delhi,Beauty,Perfume,2,38626,20,61801.6,UPI,2023,10,11.031700713758225
East,Kolkata,Sports,Dumbbells,1,67700,20,54160.0,UPI,2024,5,10.899716371226633
West,Pune,Electronics,Smartwatch,3,63256,0,189768.0,Credit Card,2025,5,12.153562821997333
West,Pune,Toys,RC Car,4,43927,10,158137.2,Debit Card,2025,6,11.971224613240675
North,Amritsar,Kitchen,Cookware Set,1,10891,5,10346.45,COD,2024,12,9.244495391526169
East,Bhubaneswar,Kitchen,Refrigerator,3,63114,0,189342.0,COD,2024,4,12.151315464069876
North,Delhi,Clothing,Kids Wear,1,18112,15,15395.2,Debit Card,2024,5,9.641876004706376
East,Patna,Electronics,Smartwatch,2,18606,20,29769.6,Debit Card,2024,9,10.301276608324693
West,Goa,Books,Comics,4,7591,10,27327.6,Debit Card,2024,1,10.215689051850791
North,Amritsar,Clothing,Kids Wear,1,64517,10,58065.3,UPI,2025,1,10.969340740131551
South,Thiruvananthapuram,Kitchen,Cookware Set,3,34872,0,104616.0,UPI,2025,6,11.558061341307955
South,Coimbatore,Kitchen,Refrigerator,5,68467,0,342335.0,UPI,2023,10,12.743547989890923
South,Coimbatore,Sports,Football,2,44464,0,88928.0,COD,2024,2,11.395593577531182
West,Mumbai,Electronics,Camera,1,34220,20,27376.0,Net Banking,2024,12,10.217458523810828
West,Mumbai,Home Decor,Vase,1,26431,15,22466.35,UPI,2024,10,10.019818423200016
North,Jaipur,Furniture,Sofa,3,32377,0,97131.0,COD,2025,7,11.483826157144954
North,Delhi,Furniture,Bed,1,12016,10,10814.4,COD,2024,1,9.28872632337126
West,Goa,Kitchen,Cookware Set,3,8027,5,22876.95,COD,2024,2,10.037928843577504
North,Jaipur,Home Decor,Clock,2,36054,5,68502.6,Credit Card,2024,4,11.13464157761389
East,Ranchi,Home Decor,Vase,5,19221,15,81689.25,Net Banking,2024,1,11.310689934681337
South,Chennai,Electronics,Laptop,1,53001,0,53001.0,Credit Card,2025,2,10.878084927671337
West,Ahmedabad,Home Decor,Wall Art,1,40814,0,40814.0,UPI,2024,8,10.616804939885457
South,Bangalore,Clothing,Shoes,2,71859,20,114974.4,COD,2024,6,11.65247347141925
South,Chennai,Sports,Tennis Racket,4,42753,15,145360.2,UPI,2024,7,11.886976958401965
East,Kolkata,Sports,Cricket Bat,4,31285,15,106369.0,COD,2023,10,11.57467886124571
North,Amritsar,Furniture,Bed,3,66377,20,159304.8,COD,2024,10,11.978580904525984
East,Guwahati,Sports,Cricket Bat,1,41325,10,37192.5,UPI,2024,12,10.523889293811171
North,Lucknow,Books,Biography,5,71204,5,338219.0,Net Banking,2025,8,12.731451850303676
East,Bhubaneswar,Electronics,Smartwatch,5,76499,10,344245.5,Net Banking,2025,8,12.749113249509442
West,Ahmedabad,Kitchen,Microwave,4,15315,10,55134.0,Debit Card,2024,8,10.917540002192778
South,Coimbatore,Kitchen,Microwave,2,11094,10,19969.2,COD,2025,7,9.901996441382245
West,Pune,Home Decor,Wall Art,2,37711,0,75422.0,Net Banking,2024,9,11.23086754726867
East,Guwahati,Toys,Board Game,4,30120,20,96384.0,UPI,2024,5,11.476105866831691
West,Mumbai,Electronics,Laptop,3,1789,15,4561.95,COD,2025,2,8.4257246231641
South,Thiruvananthapuram,Furniture,Sofa,2,27120,0,54240.0,UPI,2025,3,10.901192359022497
East,Kolkata,Groceries,Spices,4,13276,0,53104.0,Credit Card,2024,9,10.88002636475564
South,Thiruvananthapuram,Beauty,Perfume,3,1578,15,4023.9,Net Banking,2024,7,8.300255344823531
East,Bhubaneswar,Kitchen,Juicer,5,16068,15,68289.0,UPI,2024,5,11.131518621955134
North,Lucknow,Sports,Cricket Bat,4,37969,10,136688.4,Net Banking,2024,8,11.825466477642589
South,Coimbatore,Home Decor,Lamp,4,41958,10,151048.8,Credit Card,2025,3,11.925364862749062
South,Bangalore,Electronics,Laptop,3,79414,10,214417.8,Debit Card,2025,4,12.275686390901706
North,Chandigarh,Sports,Football,4,56787,15,193075.8,COD,2024,11,12.170843316196027
North,Jaipur,Kitchen,Juicer,4,15661,5,59511.8,Net Banking,2024,6,10.993946694447851
West,Goa,Beauty,Foundation,4,55121,15,187411.4,Credit Card,2024,4,12.141066815220677
West,Mumbai,Furniture,Chair,4,57942,15,197002.8,COD,2025,5,12.19097829687419
West,Ahmedabad,Kitchen,Refrigerator,3,22966,0,68898.0,Net Banking,2025,9,11.140396943108325
North,Jaipur,Toys,Action Figure,3,43825,15,111753.75,Credit Card,2023,10,11.62406201716532
West,Pune,Electronics,Headphones,5,19186,5,91133.5,Credit Card,2025,8,11.420091716277604
East,Guwahati,Sports,Dumbbells,3,52078,20,124987.2,Net Banking,2024,8,11.735974611828478
South,Coimbatore,Groceries,Oil,4,49022,5,186283.6,Net Banking,2024,9,12.13503089080044
West,Surat,Kitchen,Cookware Set,1,28684,20,22947.2,COD,2024,4,10.040994781040242
East,Patna,Home Decor,Lamp,4,67475,5,256405.0,UPI,2024,6,12.454517404690892
East,Patna,Sports,Football,5,29646,0,148230.0,Net Banking,2023,10,11.906527146757833
North,Chandigarh,Furniture,Cabinet,3,43133,10,116459.1,Credit Card,2024,6,11.665304004054661
South,Bangalore,Beauty,Perfume,5,27702,10,124659.0,UPI,2024,8,11.733345310362841
North,Chandigarh,Home Decor,Cushion,4,456,10,1641.6,Net Banking,2023,11,7.404035631306092
East,Kolkata,Kitchen,Mixer Grinder,1,79297,0,79297.0,UPI,2024,8,11.280968186623934
North,Chandigarh,Kitchen,Refrigerator,2,55685,5,105801.5,UPI,2024,11,11.569329427616767
East,Ranchi,Kitchen,Microwave,1,8039,20,6431.2,Net Banking,2025,1,8.769071904902741
North,Jaipur,Home Decor,Wall Art,2,22703,20,36324.8,UPI,2024,11,10.500283511595834
West,Mumbai,Clothing,Shoes,2,39004,20,62406.4,Credit Card,2024,2,11.0414391370699
East,Ranchi,Books,Textbook,3,47015,5,133992.75,UPI,2025,8,11.805548436054242
West,Mumbai,Electronics,Mobile,1,30002,20,24001.6,UPI,2024,9,10.085917436795784
North,Chandigarh,Sports,Yoga Mat,1,14626,15,12432.1,COD,2024,7,9.428117550031667
North,Lucknow,Furniture,Table,5,29488,0,147440.0,Debit Card,2024,1,11.901183374740672
North,Chandigarh,Kitchen,Cookware Set,3,28862,15,73598.1,Net Banking,2024,5,11.206388076381332
East,Patna,Groceries,Sugar,4,3967,15,13487.8,UPI,2025,5,9.50961499046377
East,Bhubaneswar,Beauty,Perfume,4,27946,0,111784.0,Credit Card,2023,12,11.62433266254436
North,Chandigarh,Groceries,Sugar,1,55905,20,44724.0,Debit Card,2025,1,10.70828790837692
West,Pune,Kitchen,Microwave,1,38764,15,32949.4,Debit Card,2025,8,10.402758679462432
South,Hyderabad,Clothing,Women's Wear,5,15036,10,67662.0,Credit Card,2025,8,11.122294780695517
South,Bangalore,Beauty,Shampoo,2,66296,15,112703.2,Debit Card,2024,2,11.632521966414213
East,Ranchi,Toys,RC Car,5,27902,10,125559.0,Debit Card,2024,9,11.74053901095589
North,Lucknow,Sports,Cricket Bat,4,16273,20,52073.6,Debit Card,2024,3,10.860432584870676
South,Hyderabad,Toys,Puzzle,4,78241,0,312964.0,Credit Card,2024,6,12.653846642183584
West,Surat,Toys,RC Car,5,55215,5,262271.25,Net Banking,2024,12,12.477138365366946
East,Kolkata,Electronics,Laptop,4,25647,10,92329.2,UPI,2025,2,11.43312656090751
West,Pune,Kitchen,Cookware Set,4,52353,10,188470.8,UPI,2024,11,12.146703672556672
West,Goa,Furniture,Bed,2,39647,5,75329.3,Net Banking,2024,10,11.229637723288912
South,Chennai,Furniture,Bed,3,31790,20,76296.0,Net Banking,2023,12,11.242388898019872
South,Hyderabad,Groceries,Wheat,2,35707,15,60701.9,Credit Card,2025,4,11.013746751853636
North,Lucknow,Beauty,Lipstick,3,30776,5,87711.6,Debit Card,2025,9,11.38182083964825
West,Goa,Kitchen,Cookware Set,4,46347,0,185388.0,Credit Card,2024,5,12.130211599177892
West,Ahmedabad,Sports,Cricket Bat,3,53954,0,161862.0,Credit Card,2024,11,11.99450557741395
South,Thiruvananthapuram,Groceries,Wheat,3,21273,20,51055.2,Credit Card,2025,8,10.840682265777666
West,Surat,Toys,RC Car,2,55763,15,94797.1,UPI,2025,9,11.459504645848172
East,Guwahati,Books,Comics,4,57031,15,193905.4,Credit Card,2024,5,12.175130847390522
East,Bhubaneswar,Electronics,Laptop,4,64662,0,258648.0,Net Banking,2024,12,12.463227209195693
South,Coimbatore,Home Decor,Cushion,1,39720,20,31776.0,Debit Card,2024,3,10.366498036641763
North,Amritsar,Clothing,Men's Wear,2,75270,0,150540.0,COD,2024,8,11.921990751319218
West,Pune,Books,Comics,4,19187,15,65235.8,Credit Card,2025,8,11.085779005869192
North,Chandigarh,Sports,Yoga Mat,5,22158,0,110790.0,Credit Card,2025,9,11.615400822559371
South,Thiruvananthapuram,Books,Comics,2,33681,0,67362.0,Net Banking,2024,1,11.117851184741577
South,Thiruvananthapuram,Clothing,Kids Wear,5,32102,5,152484.5,UPI,2025,5,11.934824788541814
West,Surat,Furniture,Cabinet,4,69025,5,262295.0,Credit Card,2025,8,12.47722891602462
North,Amritsar,Home Decor,Clock,2,29802,0,59604.0,Debit Card,2025,6,10.995494742152102
East,Bhubaneswar,Beauty,Face Cream,4,70931,15,241165.4,Credit Card,2025,2,12.393242430648948
South,Bangalore,Toys,Action Figure,2,1129,0,2258.0,Debit Card,2025,4,7.7226775164680035
North,Chandigarh,Furniture,Cabinet,2,75247,0,150494.0,UPI,2024,1,11.921685140027822
South,Bangalore,Groceries,Oil,1,38320,10,34488.0,COD,2024,7,10.448395711599277
West,Ahmedabad,Clothing,Shoes,2,53249,20,85198.4,Debit Card,2025,3,11.352749670539088
North,Delhi,Beauty,Lipstick,3,46270,20,111048.0,UPI,2024,4,11.617726824329305
West,Pune,Home Decor,Clock,4,27248,5,103542.4,Debit Card,2025,5,11.547746127467457
East,Guwahati,Furniture,Sofa,2,36932,5,70170.8,Credit Card,2024,9,11.158701799905357
West,Surat,Groceries,Spices,5,18389,0,91945.0,COD,2024,8,11.428956727183024
South,Bangalore,Clothing,Women's Wear,5,14946,20,59784.0,Debit Card,2023,11,10.99851007235368
West,Pune,Groceries,Spices,4,9616,0,38464.0,UPI,2025,3,10.557504015893034
North,Chandigarh,Beauty,Lipstick,1,79998,10,71998.2,Credit Card,2023,10,11.184410286825353
North,Chandigarh,Home Decor,Clock,4,58740,20,187968.0,Net Banking,2025,3,12.144032334598618
East,Kolkata,Groceries,Oil,2,25518,0,51036.0,COD,2024,12,10.840306138861743
North,Delhi,Beauty,Face Cream,5,34673,10,156028.5,Credit Card,2024,5,11.957800370918141
